student_id,major,skills,interests
S2021001,市场营销,"市场调研,Python,机器学习",人工智能
S2021002,数字媒体技术,"写作,Python,项目管理,C++","教育科技,人机交互,可持续发展"
S2021003,计算机科学与技术,"PS,写作,市场调研,SQL,商业分析","游戏开发,人工智能"
S2021004,计算机科学与技术,"UI设计,PS,市场调研","社交网络,金融科技"
S2021005,数字媒体技术,"PS,C++","社交网络,可持续发展,教育科技"
S2021006,软件工程,"UI设计,C++,数据分析","教育科技,金融科技"
S2021007,软件工程,"PPT,Java","人机交互,游戏开发,教育科技"
S2021008,工商管理,"SQL,C++,PPT,市场调研","人工智能,游戏开发,教育科技"
S2021009,数字媒体技术,"数据分析,写作,Java,PPT,项目管理",教育科技
S2021010,市场营销,"写作,数据分析,项目管理",社交网络
S2021011,数字媒体技术,"Web开发,数据分析","社交网络,电子商务"
S2021012,计算机科学与技术,"机器学习,PS,UI设计,商业分析,SQL","电子商务,游戏开发"
S2021013,计算机科学与技术,"Web开发,PS,SQL",游戏开发
S2021014,信息管理与信息系统,"数据分析,PS,PPT,UI设计","可持续发展,游戏开发"
S2021015,市场营销,"Web开发,PS","金融科技,游戏开发,电子商务"
S2021016,市场营销,"数据分析,PS","游戏开发,金融科技"
S2021017,软件工程,"Web开发,C++,UI设计","可持续发展,人机交互"
S2021018,计算机科学与技术,"PPT,PS,项目管理,UI设计,市场调研","教育科技,游戏开发,人机交互"
S2021019,数字媒体技术,"项目管理,SQL,C++","人工智能,电子商务"
S2021020,工商管理,"数据分析,Web开发,商业分析,写作,UI设计","人机交互,教育科技,金融科技"
S2021021,软件工程,"商业分析,Python,PPT,UI设计",金融科技
S2021022,信息管理与信息系统,"Java,商业分析,PS,UI设计","教育科技,游戏开发"
S2021023,计算机科学与技术,"Web开发,PPT",人工智能
S2021024,软件工程,"机器学习,UI设计,项目管理,市场调研,C++",电子商务
S2021025,计算机科学与技术,"PS,Web开发","教育科技,人工智能"
S2021026,金融学,"UI设计,商业分析","金融科技,游戏开发"
S2021027,工商管理,"写作,PS,商业分析,数据分析,UI设计",可持续发展
S2021028,信息管理与信息系统,"Python,商业分析,UI设计,PS,机器学习",社交网络
S2021029,视觉传达设计,"PS,写作","人工智能,人机交互"
S2021030,市场营销,"Python,写作,市场调研","教育科技,可持续发展"
S2021031,视觉传达设计,"C++,数据分析,PPT,商业分析",游戏开发
S2021032,软件工程,"机器学习,Web开发,Java",人工智能
S2021033,计算机科学与技术,"SQL,UI设计,市场调研,机器学习,Python","社交网络,电子商务"
S2021034,软件工程,"PS,C++","电子商务,社交网络"
S2021035,数字媒体技术,"市场调研,PPT,项目管理","金融科技,游戏开发"
S2021036,市场营销,"Java,项目管理,SQL,Python","人机交互,金融科技,社交网络"
S2021037,视觉传达设计,"写作,PPT,UI设计,项目管理,市场调研","金融科技,游戏开发"
S2021038,软件工程,"项目管理,Java,市场调研,C++","电子商务,可持续发展,社交网络"
S2021039,计算机科学与技术,"PPT,项目管理,SQL,Web开发,C++","人工智能,电子商务,社交网络"
S2021040,市场营销,"Python,PS",可持续发展
S2021041,金融学,"Web开发,PPT,Java","人机交互,电子商务,游戏开发"
S2021042,数字媒体技术,"PS,Python,项目管理,商业分析","人工智能,游戏开发"
